name,artists,mood
Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,"Preto no Branco, Gabriela Rocha",Sad
"Sonda-me, Usa-me",Aline Barros,Sad
Santo Espírito (Holy Spirit) (feat. Leonardo Gonçalves) - Ao Vivo,"Paulo Cesar Baruk, Leonardo Gonçalves",Sad
Holy Spirit - Live,"Jesus Culture, Kim Walker-Smith",Sad
Tu Podes - Ao Vivo,Régis Danese,Sad
Holy Spirit,Francesca Battistelli,Sad
Battle Belongs,Phil Wickham,Happy
Aquieta Minh'alma,Ministério Zoe,Sad
Vai Valer a Pena,Juliano Son,Sad
Pra Sempre - Acústico,"Fernandinho, Paula Santos",Happy
Deus é Deus,Delino Marçal,Sad
Santo Espírito,"Laura Souguellis, Dunamis Music",Happy
Sobre as Águas - Ao Vivo,Trazendo a Arca,Sad
Sou Humano,Bruna Karla,Happy
Atos 2,Gabriela Rocha,Happy
Me Ajude A Melhorar,Eli Soares,Sad
Grandes Coisas - Ao Vivo,Fernandinho,Happy
Eu Escolho Deus - Ao Vivo,Thalles Roberto,Sad
Acalma o Meu Coração,Anderson Freire,Sad
Tua Graça Me Basta (feat. Verônica Sacer),Davi Sacer,Happy
Raridade,Anderson Freire,Happy
Quando Eu Chorar,Bruna Karla,Sad
Ressuscita-me,Aline Barros,Happy
Deus de Promessas,Davi Sacer,Happy
Espírito Santo,Fernanda Brum,Sad
Marca da Promessa - Ao Vivo,Trazendo a Arca,Happy
Vou Deixar na Cruz,Kleber Lucas,Happy
Deus Cuida de Mim,Kleber Lucas,Sad
Advogado Fiel,Bruna Karla,Happy
Meu Barquinho,Giselli Cristina,Happy
Caia Fogo - Ao Vivo,Fernandinho,Happy
O Que Sua Glória Fez Comigo,Fernanda Brum,Happy
Deus de Promessas,Toque no Altar,Happy
Ele Não Desiste de Você,Marquinhos Gomes,Sad
Restitui - Ao Vivo,Trazendo a Arca,Sad
Conquistando o Impossível,Jamily,Happy
"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo",Régis Danese,Happy
Que Ele Cresça (Humildade) - Ao Vivo,Deigma Marques,Happy
Sabor de Mel,Damares,Happy
Ele Não Desiste de Você - Ao Vivo,Marquinhos Gomes,Sad
O Maior Troféu,Damares,Happy
Casa do Pai,Aline Barros,Sad
Me Ama - Ao Vivo,"Diante do Trono, Ana Paula Valadão",Happy
Tua Graça Me Basta,Trazendo a Arca,Happy
Com Muito Louvor,Cassiane,Happy
Te Louvarei - Ao Vivo,Trazendo a Arca,Sad
Preciso de Ti - Ao Vivo,Diante do Trono,Happy
Não Morrerei - Ao Vivo,Marquinhos Gomes,Happy
Olha pra Mim,Toque no Altar,Happy
No Silêncio,Rose Nascimento,Happy
Alive & Breathing (feat. Elle Limebear),"Matt Maher, Elle Limebear",Happy
You Say,Lauren Daigle,Sad
Milagre - Ao Vivo,André Valadão,Happy
Way Maker - Single Version,Leeland,Happy
Raise a Hallelujah - Studio Version,"Bethel Music, Jonathan David Helser, Melissa Helser",Happy
Nobody (feat. Matthew West),"Casting Crowns, Matthew West",Happy
Be Alright,"Evan Craft, Danny Gokey, Redimi2",Sad
Uma Nova História - Ao Vivo,Fernandinho,Happy
Scars,I AM THEY,Sad
O Come to the Altar (Live),Elevation Worship,Happy
Known,Tauren Wells,Happy
God's Not Done with You,Tauren Wells,Happy
Good Good Father,Chris Tomlin,Sad
Our God,Chris Tomlin,Happy
Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,Happy
